H,W,efficiency,kernel,mode,n_runs,padding,speedup,stride,t_par_outliers,t_par_sec,t_par_std_sec,t_seq_outliers,t_seq_sec,t_seq_std_sec,t_serial_outliers,t_serial_sec,t_serial_std_sec,tiles_per_dim,workers
128,128,0.919205910821937,3,strong,30,0,0.919205910821937,1,1,0.45229026159892477,0.06739531698228961,0,0.4157478818689318,0.05055587372529386,4,0.0006233657690851639,0.0002902531053281709,2,1
128,128,0.732426255329992,3,strong,30,0,1.464852510659984,1,2,0.28381552329907817,0.030017514262161697,0,0.4157478818689318,0.05055587372529386,4,0.0006233657690851639,0.0002902531053281709,2,2
128,128,0.4004934898656258,3,strong,30,0,1.601973959462503,1,4,0.25952224717087424,0.07959813221443884,0,0.4157478818689318,0.05055587372529386,4,0.0006233657690851639,0.0002902531053281709,2,4
64,64,,3,weak,30,0,,1,2,0.11876191743455516,0.023921544716522358,,,,,,,2,1
88,88,,3,weak,30,0,,1,2,0.13891019826405682,0.019138124103247146,,,,,,,2,2
128,128,,3,weak,30,0,,1,0,0.19659313650336116,0.03225416129316932,,,,,,,2,4
