H,W,efficiency,kernel,mode,n_runs,padding,speedup,stride,t_par_outliers,t_par_sec,t_par_std_sec,t_seq_outliers,t_seq_sec,t_seq_std_sec,t_serial_outliers,t_serial_sec,t_serial_std_sec,tiles_per_dim,workers
128,128,1.183485,3,strong,30,0,1.183485,1,0,0.010613,0.000386,3,0.012560,0.001702,3,0.000004,0.000006,2,1
128,128,1.180793,3,strong,30,0,2.361587,1,2,0.005319,0.000187,3,0.012560,0.001702,3,0.000004,0.000006,2,2
128,128,0.821031,3,strong,30,0,3.284122,1,0,0.003825,0.001058,3,0.012560,0.001702,3,0.000004,0.000006,2,4
64,64,,3,weak,30,0,,1,1,0.002967,0.000263,,,,,,,2,1
88,88,,3,weak,30,0,,1,3,0.003055,0.000478,,,,,,,2,2
128,128,,3,weak,30,0,,1,0,0.005385,0.001129,,,,,,,2,4
